date,jobs,industry
2021-06-28,6987,Hospitality & Catering
2021-06-28,422,Graduate
2021-06-28,10347,Trade & Construction
2021-06-28,18570,Healthcare & Nursing
2021-06-28,5686,Retail
2021-06-28,75,Travel
2021-06-28,3104,Logistics & Warehouse
2021-06-28,3612,Teaching
2021-06-29,6988,Hospitality & Catering
2021-06-29,443,Graduate
2021-06-29,9251,Trade & Construction
2021-06-29,19012,Healthcare & Nursing
2021-06-29,5456,Retail
2021-06-29,69,Travel
2021-06-29,3073,Logistics & Warehouse
2021-06-29,3778,Teaching
2021-06-30,7012,Hospitality & Catering
2021-06-30,387,Graduate
2021-06-30,9371,Trade & Construction
2021-06-30,19112,Healthcare & Nursing
2021-06-30,5351,Retail
2021-06-30,71,Travel
2021-06-30,3058,Logistics & Warehouse
2021-06-30,3861,Teaching
2021-07-01,6996,Hospitality & Catering
2021-07-01,458,Graduate
2021-07-01,9541,Trade & Construction
2021-07-01,19280,Healthcare & Nursing
2021-07-01,5309,Retail
2021-07-01,68,Travel
2021-07-01,3098,Logistics & Warehouse
2021-07-01,3879,Teaching
2021-07-02,6907,Hospitality & Catering
2021-07-02,341,Graduate
2021-07-02,9515,Trade & Construction
2021-07-02,19500,Healthcare & Nursing
2021-07-02,5423,Retail
2021-07-02,74,Travel
2021-07-02,3122,Logistics & Warehouse
2021-07-02,3964,Teaching
2021-07-03,6963,Hospitality & Catering
2021-07-03,427,Graduate
2021-07-03,9654,Trade & Construction
2021-07-03,21825,Healthcare & Nursing
2021-07-03,5476,Retail
2021-07-03,75,Travel
2021-07-03,3085,Logistics & Warehouse
2021-07-03,4026,Teaching
2021-07-04,6856,Hospitality & Catering
2021-07-04,288,Graduate
2021-07-04,9267,Trade & Construction
2021-07-04,21485,Healthcare & Nursing
2021-07-04,5262,Retail
2021-07-04,72,Travel
2021-07-04,3109,Logistics & Warehouse
2021-07-04,3964,Teaching
2021-07-05,6691,Hospitality & Catering
2021-07-05,428,Graduate
2021-07-05,9193,Trade & Construction
2021-07-05,21077,Healthcare & Nursing
2021-07-05,5270,Retail
2021-07-05,78,Travel
2021-07-05,3106,Logistics & Warehouse
2021-07-05,3936,Teaching
2021-07-06,6669,Hospitality & Catering
2021-07-06,255,Graduate
2021-07-06,11134,Trade & Construction
2021-07-06,20957,Healthcare & Nursing
2021-07-06,6048,Retail
2021-07-06,71,Travel
2021-07-06,3123,Logistics & Warehouse
2021-07-06,3832,Teaching
2021-07-07,6659,Hospitality & Catering
2021-07-07,254,Graduate
2021-07-07,11351,Trade & Construction
2021-07-07,21470,Healthcare & Nursing
2021-07-07,6148,Retail
2021-07-07,68,Travel
2021-07-07,3145,Logistics & Warehouse
2021-07-07,3945,Teaching
2021-07-08,6632,Hospitality & Catering
2021-07-08,256,Graduate
2021-07-08,11334,Trade & Construction
2021-07-08,21472,Healthcare & Nursing
2021-07-08,6051,Retail
2021-07-08,68,Travel
2021-07-08,3296,Logistics & Warehouse
2021-07-08,3988,Teaching
2021-07-09,6618,Hospitality & Catering
2021-07-09,311,Graduate
2021-07-09,11322,Trade & Construction
2021-07-09,21835,Healthcare & Nursing
2021-07-09,5747,Retail
2021-07-09,75,Travel
2021-07-09,3320,Logistics & Warehouse
2021-07-09,3924,Teaching
2021-07-10,6605,Hospitality & Catering
2021-07-10,347,Graduate
2021-07-10,11468,Trade & Construction
2021-07-10,21505,Healthcare & Nursing
2021-07-10,6116,Retail
2021-07-10,75,Travel
2021-07-10,4190,Logistics & Warehouse
2021-07-10,4090,Teaching
2021-07-11,6564,Hospitality & Catering
2021-07-11,266,Graduate
2021-07-11,11378,Trade & Construction
2021-07-11,21562,Healthcare & Nursing
2021-07-11,5834,Retail
2021-07-11,74,Travel
2021-07-11,4199,Logistics & Warehouse
2021-07-11,4064,Teaching
2021-07-12,6471,Hospitality & Catering
2021-07-12,224,Graduate
2021-07-12,11585,Trade & Construction
2021-07-12,20366,Healthcare & Nursing
2021-07-12,5753,Retail
2021-07-12,76,Travel
2021-07-12,4172,Logistics & Warehouse
2021-07-12,3595,Teaching
2021-07-13,6515,Hospitality & Catering
2021-07-13,312,Graduate
2021-07-13,11358,Trade & Construction
2021-07-13,20875,Healthcare & Nursing
2021-07-13,5833,Retail
2021-07-13,71,Travel
2021-07-13,4175,Logistics & Warehouse
2021-07-13,3983,Teaching
2021-07-14,6573,Hospitality & Catering
2021-07-14,422,Graduate
2021-07-14,11449,Trade & Construction
2021-07-14,20901,Healthcare & Nursing
2021-07-14,6111,Retail
2021-07-14,79,Travel
2021-07-14,4216,Logistics & Warehouse
2021-07-14,4067,Teaching
2021-07-15,6520,Hospitality & Catering
2021-07-15,252,Graduate
2021-07-15,11020,Trade & Construction
2021-07-15,20836,Healthcare & Nursing
2021-07-15,5864,Retail
2021-07-15,71,Travel
2021-07-15,4210,Logistics & Warehouse
2021-07-15,4088,Teaching
2021-07-16,6481,Hospitality & Catering
2021-07-16,242,Graduate
2021-07-16,11183,Trade & Construction
2021-07-16,20629,Healthcare & Nursing
2021-07-16,6261,Retail
2021-07-16,73,Travel
2021-07-16,4235,Logistics & Warehouse
2021-07-16,3845,Teaching
2021-07-17,6487,Hospitality & Catering
2021-07-17,354,Graduate
2021-07-17,11252,Trade & Construction
2021-07-17,20761,Healthcare & Nursing
2021-07-17,6379,Retail
2021-07-17,76,Travel
2021-07-17,4305,Logistics & Warehouse
2021-07-17,4261,Teaching
2021-07-18,6461,Hospitality & Catering
2021-07-18,305,Graduate
2021-07-18,11316,Trade & Construction
2021-07-18,21002,Healthcare & Nursing
2021-07-18,6410,Retail
2021-07-18,70,Travel
2021-07-18,4258,Logistics & Warehouse
2021-07-18,4236,Teaching
2021-07-19,6367,Hospitality & Catering
2021-07-19,430,Graduate
2021-07-19,11403,Trade & Construction
2021-07-19,20541,Healthcare & Nursing
2021-07-19,6735,Retail
2021-07-19,73,Travel
2021-07-19,4226,Logistics & Warehouse
2021-07-19,4125,Teaching
2021-07-20,6385,Hospitality & Catering
2021-07-20,422,Graduate
2021-07-20,11149,Trade & Construction
2021-07-20,20125,Healthcare & Nursing
2021-07-20,6743,Retail
2021-07-20,69,Travel
2021-07-20,4213,Logistics & Warehouse
2021-07-20,4108,Teaching
2021-07-21,6410,Hospitality & Catering
2021-07-21,299,Graduate
2021-07-21,11264,Trade & Construction
2021-07-21,20085,Healthcare & Nursing
2021-07-21,6702,Retail
2021-07-21,71,Travel
2021-07-21,4195,Logistics & Warehouse
2021-07-21,3843,Teaching
2021-07-22,6382,Hospitality & Catering
2021-07-22,362,Graduate
2021-07-22,11312,Trade & Construction
2021-07-22,20785,Healthcare & Nursing
2021-07-22,6772,Retail
2021-07-22,78,Travel
2021-07-22,4178,Logistics & Warehouse
2021-07-22,4251,Teaching
2021-07-23,6442,Hospitality & Catering
2021-07-23,402,Graduate
2021-07-23,11452,Trade & Construction
2021-07-23,20919,Healthcare & Nursing
2021-07-23,6779,Retail
2021-07-23,90,Travel
2021-07-23,4292,Logistics & Warehouse
2021-07-23,4261,Teaching
2021-07-24,6389,Hospitality & Catering
