date,jobs,state
2021-06-27,47151,New South Wales
2021-06-27,33026,Victoria
2021-06-27,24289,Queensland
2021-06-27,13235,Western Australia
2021-06-27,5986,South Australia
2021-06-27,4187,Australian Capital Territory
2021-06-27,1869,Tasmania
2021-06-27,1791,Northern Territory
2021-06-28,46684,New South Wales
2021-06-28,32920,Victoria
2021-06-28,24162,Queensland
2021-06-28,13322,Western Australia
2021-06-28,5967,South Australia
2021-06-28,4193,Australian Capital Territory
2021-06-28,1911,Tasmania
2021-06-28,1792,Northern Territory
2021-06-29,39791,New South Wales
2021-06-29,27570,Victoria
2021-06-29,20253,Queensland
2021-06-29,11958,Western Australia
2021-06-29,4795,South Australia
2021-06-29,3759,Australian Capital Territory
2021-06-29,1593,Northern Territory
2021-06-29,1546,Tasmania
2021-06-30,39598,New South Wales
2021-06-30,27592,Victoria
2021-06-30,20021,Queensland
2021-06-30,12031,Western Australia
2021-06-30,4821,South Australia
2021-06-30,3725,Australian Capital Territory
2021-06-30,1569,Northern Territory
2021-06-30,1528,Tasmania
2021-07-01,40369,New South Wales
2021-07-01,27843,Victoria
2021-07-01,20351,Queensland
2021-07-01,12164,Western Australia
2021-07-01,4922,South Australia
2021-07-01,3783,Australian Capital Territory
2021-07-01,1595,Tasmania
2021-07-01,1587,Northern Territory
2021-07-02,40767,New South Wales
2021-07-02,28428,Victoria
2021-07-02,20614,Queensland
2021-07-02,12334,Western Australia
2021-07-02,5046,South Australia
2021-07-02,3876,Australian Capital Territory
2021-07-02,1639,Tasmania
2021-07-02,1581,Northern Territory
2021-07-03,41959,New South Wales
2021-07-03,29193,Victoria
2021-07-03,21422,Queensland
2021-07-03,12489,Western Australia
2021-07-03,5184,South Australia
2021-07-03,3924,Australian Capital Territory
2021-07-03,1704,Tasmania
2021-07-03,1597,Northern Territory
2021-07-04,41370,New South Wales
2021-07-04,28765,Victoria
2021-07-04,20863,Queensland
2021-07-04,12156,Western Australia
2021-07-04,5082,South Australia
2021-07-04,3924,Australian Capital Territory
2021-07-04,1657,Tasmania
2021-07-04,1580,Northern Territory
2021-07-05,40699,New South Wales
2021-07-05,28530,Victoria
2021-07-05,20956,Queensland
2021-07-05,12099,Western Australia
2021-07-05,5050,South Australia
2021-07-05,3885,Australian Capital Territory
2021-07-05,1697,Tasmania
2021-07-05,1563,Northern Territory
2021-07-06,50041,New South Wales
2021-07-06,35802,Victoria
2021-07-06,26596,Queensland
2021-07-06,14118,Western Australia
