date,jobs,state
2021-06-27,95.1,New South Wales
2021-06-27,92.1,Victoria
2021-06-27,93.6,Queensland
2021-06-27,93.4,Western Australia
2021-06-27,93.4,South Australia
2021-06-27,95.1,Australian Capital Territory
2021-06-27,94.8,Tasmania
2021-06-27,104.3,Northern Territory
2021-06-28,94.2,New South Wales
2021-06-28,91.8,Victoria
2021-06-28,93.1,Queensland
2021-06-28,94.0,Western Australia
2021-06-28,93.1,South Australia
2021-06-28,95.2,Australian Capital Territory
2021-06-28,96.9,Tasmania
2021-06-28,104.3,Northern Territory
2021-06-29,80.3,New South Wales
2021-06-29,76.9,Victoria
2021-06-29,78.1,Queensland
2021-06-29,84.4,Western Australia
2021-06-29,74.8,South Australia
2021-06-29,85.4,Australian Capital Territory
2021-06-29,92.7,Northern Territory
2021-06-29,78.4,Tasmania
2021-06-30,79.9,New South Wales
2021-06-30,77.0,Victoria
2021-06-30,77.2,Queensland
2021-06-30,84.9,Western Australia
2021-06-30,75.2,South Australia
2021-06-30,84.6,Australian Capital Territory
2021-06-30,91.3,Northern Territory
2021-06-30,77.5,Tasmania
2021-07-01,81.4,New South Wales
2021-07-01,77.7,Victoria
2021-07-01,78.4,Queensland
2021-07-01,85.8,Western Australia
2021-07-01,76.8,South Australia
2021-07-01,85.9,Australian Capital Territory
2021-07-01,80.9,Tasmania
2021-07-01,92.4,Northern Territory
2021-07-02,82.3,New South Wales
2021-07-02,79.3,Victoria
2021-07-02,79.5,Queensland
2021-07-02,87.0,Western Australia
2021-07-02,78.7,South Australia
2021-07-02,88.0,Australian Capital Territory
2021-07-02,83.1,Tasmania
2021-07-02,92.0,Northern Territory
2021-07-03,84.7,New South Wales
2021-07-03,81.4,Victoria
2021-07-03,82.6,Queensland
2021-07-03,88.1,Western Australia
2021-07-03,80.9,South Australia
2021-07-03,89.1,Australian Capital Territory
2021-07-03,86.4,Tasmania
2021-07-03,93.0,Northern Territory
2021-07-04,83.5,New South Wales
2021-07-04,80.2,Victoria
2021-07-04,80.4,Queensland
2021-07-04,85.8,Western Australia
2021-07-04,79.3,South Australia
2021-07-04,89.1,Australian Capital Territory
2021-07-04,84.0,Tasmania
2021-07-04,92.0,Northern Territory
2021-07-05,82.1,New South Wales
2021-07-05,79.6,Victoria
2021-07-05,80.8,Queensland
2021-07-05,85.4,Western Australia
2021-07-05,78.8,South Australia
2021-07-05,88.2,Australian Capital Territory
2021-07-05,86.1,Tasmania
2021-07-05,91.0,Northern Territory
2021-07-06,101.0,New South Wales
2021-07-06,99.9,Victoria
2021-07-06,102.5,Queensland
2021-07-06,99.6,Western Australia
2021-07-06,101.3,South Australia
2021-07-06,99.8,Australian Capital Territory
2021-07-06,101.0,Tasmania
2021-07-06,104.3,Northern Territory
2021-07-07,101.9,New South Wales
2021-07-07,101.7,Victoria
2021-07-07,103.0,Queensland
2021-07-07,101.2,Western Australia
2021-07-07,102.2,South Australia
2021-07-07,99.9,Australian Capital Territory
2021-07-07,99.7,Tasmania
2021-07-07,105.1,Northern Territory
2021-07-08,103.5,New South Wales
2021-07-08,101.7,Victoria
2021-07-08,103.1,Queensland
2021-07-08,100.2,Western Australia
2021-07-08,102.6,South Australia
2021-07-08,102.5,Australian Capital Territory
2021-07-08,99.5,Tasmania
2021-07-08,103.1,Northern Territory
2021-07-09,101.7,New South Wales
2021-07-09,100.1,Victoria
2021-07-09,100.9,Queensland
2021-07-09,101.8,Western Australia
2021-07-09,102.1,South Australia
2021-07-09,102.5,Australian Capital Territory
2021-07-09,97.5,Tasmania
2021-07-09,101.1,Northern Territory
2021-07-10,105.0,New South Wales
2021-07-10,102.9,Victoria
2021-07-10,105.5,Queensland
2021-07-10,101.6,Western Australia
2021-07-10,104.1,South Australia
2021-07-10,104.1,Australian Capital Territory
2021-07-10,99.2,Tasmania
2021-07-10,103.6,Northern Territory
2021-07-11,103.6,New South Wales
2021-07-11,100.6,Victoria
2021-07-11,103.7,Queensland
2021-07-11,101.0,Western Australia
2021-07-11,103.3,South Australia
2021-07-11,103.4,Australian Capital Territory
2021-07-11,98.4,Tasmania
2021-07-11,101.9,Northern Territory
2021-07-12,101.6,New South Wales
2021-07-12,99.4,Victoria
2021-07-12,102.9,Queensland
2021-07-12,100.4,Western Australia
2021-07-12,102.0,South Australia
2021-07-12,100.9,Australian Capital Territory
2021-07-12,101.2,Tasmania
