date,jobs
2021-06-28,89.4
2021-06-29,74.5
2021-06-30,74.1
2021-07-01,75.8
2021-07-02,76.6
2021-07-03,78.1
2021-07-04,78.2
2021-07-05,78.2
2021-07-06,99.2
2021-07-07,100.8
2021-07-08,102.0
2021-07-09,99.3
2021-07-10,102.3
2021-07-11,100.0
2021-07-12,99.4
2021-07-13,100.8
2021-07-14,104.6
2021-07-15,100.5
2021-07-16,102.3
2021-07-17,105.1
2021-07-18,105.1
2021-07-19,105.3
2021-07-20,107.0
2021-07-21,106.9
2021-07-22,108.8
2021-07-23,108.9
2021-07-24,113.6
2021-07-25,113.6
2021-07-26,112.8
2021-07-27,114.8
