date,jobs
2021-06-26,139350
2021-06-27,140964
2021-06-28,140118
2021-06-29,120326
2021-06-30,119021
2021-07-01,121867
2021-07-02,123663
2021-07-03,127122
2021-07-04,124750
2021-07-05,123996
2021-07-06,150746
2021-07-07,152595
2021-07-08,153294
2021-07-09,151592
2021-07-10,155684
2021-07-11,153495
2021-07-12,151573
2021-07-13,152541
2021-07-14,152681
2021-07-15,151227
2021-07-16,153030
2021-07-17,155728
2021-07-18,154958
2021-07-19,156695
2021-07-20,155670
2021-07-21,155714
2021-07-22,159272
2021-07-23,160180
2021-07-24,161936
2021-07-25,161751
2021-07-26,156432
2021-07-27,161230
